P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"11,43",2017,31%,---,"0,54","0,20","1,03","1,04","11,22","7,59","6,99","3,06",51%,"3,54",98%,27%,46%,"7,11","6,55","4,18%"
"6,03",2018,32%,---,"0,60","0,26","1,16","1,10","6,37","3,72","0,00","2,33",0%,"1,92",106%,39%,76%,"5,75","0,00","7,42%"
"10,04",2019,33%,---,"0,53","0,18","1,41","1,23","11,52","6,10","0,00","3,85",0%,"3,32",115%,38%,74%,"4,70","0,00","7,86%"
"7,97",2020,32%,---,"0,70","0,37","1,38","1,55","7,07","4,82","0,00","2,68",0%,"2,52",89%,34%,72%,"4,61","0,00","6,02%"
