P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-12,23",2014,-25%,"0,40","2,35","0,74","-0,09","2,65","0,44","-7,04","-7,84","0,30",-12%,"0,96",-4%,-2%,-5%,"-42,13","-46,91","0,00%"
"32,89",2015,4%,"0,22","2,73","0,47","0,17","2,82","1,95","24,22","21,21","0,93",11%,"2,23",6%,3%,5%,"35,28","30,91","0,00%"
"15,93",2016,5%,"0,12","3,45","0,63","0,31","4,27","1,16","12,68","11,70","0,61",13%,"1,55",7%,4%,6%,"20,22","18,66","0,00%"
"10,20",2017,8%,"0,23","3,49","1,23","1,96","21,52","0,93","8,79","7,62","0,51",10%,"0,80",9%,5%,8%,"21,37","18,53","0,00%"
"8,27",2018,12%,"0,45","3,94","1,89","3,88","23,10","1,39","7,60","6,86","0,64",14%,"0,99",17%,8%,13%,"11,56","10,44","1,59%"
"11,93",2019,14%,"0,64","4,34","1,85","2,53","12,95","2,33","10,83","9,77","0,91",17%,"1,62",20%,8%,12%,"9,13","8,24","1,99%"
"12,48",2020,12%,"0,68","2,93","1,16","2,22","13,14","2,11","11,01","9,76","0,81",15%,"1,48",17%,7%,11%,"10,36","9,18","1,23%"
