P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"35,40",2013,21%,"0,08","5,19","4,24","1,35","12,59","3,81","38,46","25,60","2,90",30%,"7,56",11%,8%,14%,"56,33","37,50","0,71%"
"34,23",2014,19%,"0,11","3,49","2,50","1,48","13,56","3,72","35,78","22,63","2,68",28%,"6,42",11%,8%,11%,"51,09","32,31","1,25%"
"32,42",2015,14%,"0,19","3,81","2,48","1,37","14,20","3,12","29,64","17,06","2,08",27%,"4,62",10%,6%,9%,"49,15","28,28","1,85%"
"42,25",2016,14%,"0,11","6,79","5,52","0,41","6,96","2,49","42,25","23,08","1,94",25%,"5,80",6%,5%,8%,"44,69","24,41","1,61%"
"41,37",2017,15%,"0,08","4,26","3,14","0,52","7,04","3,04","47,44","24,65","2,27",25%,"6,23",7%,5%,7%,"41,63","21,63","1,03%"
"75,29",2018,11%,"0,24","3,22","2,10","0,43","6,36","5,13","59,57","32,12","3,29",25%,"7,91",7%,4%,8%,"36,72","19,79","0,43%"
"167,72",2019,5%,"0,19","3,52","2,65","0,21","9,45","3,75","81,82","33,42","2,62",25%,"8,51",2%,2%,5%,"35,53","14,51","0,00%"
"249,21",2020,2%,"0,18","2,72","1,92","0,07","9,21","2,00","61,21","22,94","1,39",19%,"4,26",1%,1%,3%,"54,86","20,56","0,00%"
