P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"8,60",2014,15%,"0,59","0,42","0,23","0,33","3,27","0,87","5,14","0,00","0,45",0%,"1,27",10%,5%,10%,"42,18","0,00","0,00%"
"-2,76",2015,-4%,"2,14","0,43","0,07","-0,38","9,90","0,11","0,41","0,42","0,02",26%,"0,11",-4%,-1%,5%,"16,43","16,62","5,66%"
"-2,49",2016,-15%,"1,50","0,68","0,08","-2,00","15,50","0,32","2,02","2,04","0,08",18%,"0,36",-13%,-3%,4%,"18,87","19,05","0,00%"
"-16,41",2017,-4%,"1,21","1,26","0,05","-0,57","17,32","0,54","3,04","3,05","0,16",24%,"0,72",-3%,-1%,6%,"12,97","13,02","0,00%"
"22,06",2018,4%,"1,28","1,65","0,06","0,59","17,92","0,73","3,45","3,48","0,22",26%,"0,92",3%,1%,7%,"11,02","11,09","0,00%"
"13,78",2019,11%,"1,36","1,63","0,65","1,68","18,60","1,25","5,10","5,16","0,33",29%,"1,52",9%,2%,7%,"8,83","8,92","0,00%"
"19,14",2020,7%,"1,78","1,47","0,96","1,03","18,02","1,09","4,85","4,90","0,26",27%,"1,33",6%,1%,6%,"10,88","11,00","0,00%"
