P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"8,78",2017,18%,"0,53","0,99","0,42","6,82","51,14","1,17","5,31","4,36","0,60",36%,"1,56",13%,7%,12%,"10,10","8,29","0,00%"
"6,93",2018,21%,"0,48","0,78","0,24","8,87","56,75","1,08","4,52","3,77","0,57",39%,"1,49",16%,8%,13%,"8,56","7,15","5,45%"
"9,44",2019,23%,"0,50","0,91","0,21","10,74","61,27","1,66","6,25","5,18","0,86",42%,"2,16",18%,9%,14%,"7,40","6,13","2,69%"
"8,31",2020,23%,"0,54","1,30","0,62","3,71","21,27","1,45","5,48","4,56","0,74",42%,"1,91",17%,9%,15%,"7,03","5,86","5,68%"
