P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"18,88",2014,15%,1.56,3.14,2.28,"0,77","7,46","1,96","8,12","5,20","0,65",54%,"2,82",10%,3%,11%,"15,35","9,84","5,21%"
"-17,71",2015,-22%,3.37,2.74,1.77,"-1,32","5,65","4,15","14,88","8,91","0,84",44%,"3,90",-23%,-5%,7%,"22,30","13,36","1,75%"
"6,76",2016,35%,2.60,2.40,1.56,"2,62","7,50","2,36","12,00","7,82","0,57",30%,"2,37",35%,8%,6%,"23,51","15,31","2,77%"
"31,55",2017,6%,2.70,3.15,2.21,"0,56","7,56","2,33","10,85","6,78","0,55",30%,"2,01",7%,2%,7%,"20,69","12,93","2,33%"
"91,88",2018,2%,2.98,2.93,1.90,"0,17","6,04","2,63","5,76","4,29","0,58",40%,"1,72",3%,1%,14%,"11,15","8,31","6,86%"
"27,82",2019,7%,3.70,4.40,3.13,"0,66","6,01","3,06","7,89","5,45","0,57",36%,"1,94",11%,2%,11%,"13,94","9,64","3,59%"
"-9,34",2020,-22%,8.07,3.93,2.34,"-2,06","3,16","6,09","7,93","5,52","0,62",36%,"2,01",-65%,-7%,10%,"15,71","10,94","3,43%"
