P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"48,80",2013,8%,"0,31","5,06","4,21","0,43","5,76","3,68","42,85","43,97","2,03",9%,"3,81",8%,4%,11%,"37,35","38,33","0,00%"
"18,42",2014,23%,"0,22","1,94","0,78","1,92","7,19","4,91","24,01","24,25","3,10",17%,"4,23",27%,17%,15%,"15,28","15,43","0,31%"
"17,81",2015,7%,"0,55","1,66","0,77","0,77","7,77","1,78","16,28","16,92","0,97",8%,"1,33",10%,5%,7%,"29,15","30,29","3,41%"
"50,15",2016,2%,"0,59","1,62","0,68","0,27","7,84","1,74","19,36","20,27","0,80",6%,"1,15",3%,2%,5%,"36,25","37,97","1,39%"
"26,64",2017,8%,"0,40","1,86","0,52","1,06","8,60","3,29","26,33","27,25","1,71",8%,"2,19",12%,6%,7%,"23,34","24,15","0,21%"
"329,94",2018,0%,"0,60","1,77","0,80","0,05","8,57","1,98","33,84","34,67","0,91",3%,"1,20",1%,0%,3%,"53,37","54,68","1,47%"
"-298,67",2019,-1%,"1,80","1,34","0,54","-0,10","8,60","3,46","19,75","20,37","1,00",10%,"2,02",-1%,0%,6%,"24,24","25,00","0,03%"
"-27,95",2020,-5%,"0,74","3,81","2,77","-0,82","20,76","1,11","25,27","25,71","0,55",6%,"1,49",-4%,-2%,3%,"29,64","30,15","0,00%"
