P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"16,44",2017,7%,"1,23","0,99","0,54","1,64","8,74","3,08","10,07","7,48","0,84",15%,"1,12",19%,5%,11%,"10,38","7,71","0,00%"
"27,93",2018,5%,"1,17","0,87","0,42","1,29","9,68","3,72","22,35","13,83","1,00",9%,"1,28",13%,4%,6%,"17,72","10,96","0,00%"
"-8,00",2019,-21%,"-1,00","0,60","0,25","-7,29","-10,68","-5,46","-16,09","7,76","1,00",22%,"1,68",68%,-13%,-7%,"-7,63","3,68","0,00%"
"-0,85",2020,-74%,"-2,14","0,37","0,13","-26,37","-29,27","-0,77","-5,42","3,11","0,39",20%,"0,63",90%,-46%,-9%,"-19,47","11,16","0,00%"
