P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-3,58",2015,-29%,"2,52","0,40","0,17","-1,74","3,30","1,89","-236,42","4,10","0,28",25%,"1,03",-53%,-8%,0%,"-2.323,03","40,30","0,00%"
"-7,82",2016,-24%,"1,50","0,68","0,35","-0,79","4,24","1,45","28,55","5,21","0,36",37%,"1,91",-19%,-5%,1%,"152,88","27,88","0,00%"
"-78,99",2017,-4%,"1,21","1,25","0,05","-0,16","5,14","2,52","14,28","7,33","0,77",46%,"3,40",-3%,-1%,6%,"32,61","16,75","0,00%"
"96,73",2018,4%,"1,28","1,65","0,06","0,18","5,32","3,20","15,14","8,17","0,98",49%,"4,03",3%,1%,7%,"26,92","14,54","0,00%"
"51,70",2019,11%,"1,36","1,63","0,65","0,50","5,53","4,72","19,25","10,63","1,24",54%,"5,74",9%,2%,7%,"21,97","12,13","0,00%"
"75,90",2020,7%,"1,78","1,47","0,96","0,31","5,36","4,43","19,53","11,61","1,04",46%,"5,38",6%,1%,6%,"25,54","15,19","0,00%"
