P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"26,54",2018,45%,0.44,1.30,1.01,"0,68","31,19","0,58","15,03","14,75","0,39",81%,"12,00",2%,1%,3%,"44,74","43,90","0,00%"
"35,28",2019,73%,0.30,6.71,3.90,"0,92","28,92","1,12","18,42","17,53","0,83",148%,"25,91",3%,2%,5%,"18,37","17,47","0,43%"
"30,04",2020,74%,0.29,4.99,2.91,"0,96","29,01","0,99","16,27","15,40","0,73",145%,"22,30",3%,2%,5%,"18,31","17,33","0,73%"
