P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"11,58",2015,30%,---,"1,52","0,63","3,01","3,96","8,79","10,45","10,38","2,57",34%,"3,51",76%,22%,42%,"3,64","3,62","6,26%"
"10,07",2016,35%,---,"1,33","0,53","4,44","5,14","8,71","9,19","9,07","2,87",39%,"3,57",86%,29%,48%,"2,54","2,51","6,48%"
"20,57",2017,50%,---,"1,73","0,61","3,69","7,03","10,79","31,13","30,45","4,33",34%,"10,23",52%,21%,22%,"4,72","4,62","5,84%"
"8,40",2018,65%,---,"1,76","0,50","5,21","8,18","5,35","7,32","7,15","2,06",77%,"5,50",64%,25%,41%,"1,91","1,87","8,89%"
"7,76",2019,60%,---,"2,09","0,89","5,06","9,71","4,05","6,36","6,15","1,69",75%,"4,64",52%,22%,48%,"1,20","1,16","9,42%"
"3,77",2020,55%,---,"1,70","0,85","4,36","10,16","1,62","3,00","2,88","0,67",72%,"2,08",43%,18%,38%,"1,38","1,32","1,64%"
