P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"17,98",2012,1%,1.27,1.14,0.35,"1,00","9,28","1,94","4,78","4,11","0,48",6%,"0,25",11%,3%,19%,"17,71","15,23","0,00%"
"25,72",2013,2%,1.00,1.15,0.45,"0,29","3,06","2,45","9,10","8,14","0,72",6%,"0,53",10%,3%,16%,"19,44","17,41","16,25%"
"9,36",2014,4%,0.79,1.10,0.46,"0,73","3,65","1,86","4,20","3,87","0,55",10%,"0,39",20%,6%,28%,"9,35","8,61","0,00%"
"133,72",2015,0%,0.77,1.13,0.59,"0,01","3,29","0,44","2,65","2,00","0,11",5%,"0,10",0%,0%,10%,"25,42","19,16","11,72%"
"-48,93",2016,0%,1.40,0.89,0.33,"-0,07","2,17","1,66","6,52","4,97","0,27",5%,"0,23",-3%,-1%,9%,"28,34","21,59","0,00%"
"52,54",2017,1%,1.42,0.87,0.25,"0,15","2,29","3,46","9,83","7,53","0,51",5%,"0,40",7%,1%,12%,"20,09","15,38","0,38%"
"-21,28",2018,-1%,1.74,0.91,0.25,"-0,21","1,95","2,25","16,09","8,29","0,27",3%,"0,21",-11%,-1%,4%,"59,44","30,63","0,23%"
"-10,13",2019,-6%,10.21,0.79,0.09,"-1,10","0,44","25,11","-13,93","-91,28","0,59",-1%,"0,57",-248%,-6%,-7%,"-23,83","-156,18","0,00%"
"-14,40",2020,-5%,8.90,0.77,0.14,"-1,06","0,49","30,79","-21,11","-469,93","0,82",0%,"0,77",-214%,-6%,-6%,"-25,53","-568,38","0,00%"
