P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"9,32",2015,6%,---,"1,32","0,69","3,09","19,98","1,44","27,14","17,28","0,40",3%,"0,60",15%,4%,2%,"20,79","13,23","2,22%"
"9,55",2016,6%,---,"1,34","0,69","2,82","21,65","1,24","73,08","35,88","0,34",2%,"0,54",13%,4%,1%,"56,22","27,60","4,94%"
"10,70",2017,6%,---,"1,41","0,73","3,40","23,87","1,52","29,22","21,69","0,41",3%,"0,70",14%,4%,2%,"13,23","9,82","4,13%"
"12,88",2018,7%,---,"1,31","0,64","4,05","23,64","2,21","13,60","11,29","0,55",8%,"0,95",17%,4%,6%,"4,60","3,82","7,77%"
"14,70",2019,8%,---,"1,27","0,57","4,27","25,58","2,45","20,53","16,55","0,62",7%,"1,12",17%,4%,4%,"6,40","5,16","3,38%"
"12,47",2020,7%,---,"1,27","0,59","4,05","24,96","2,02","14,20","11,78","0,49",8%,"0,90",16%,4%,5%,"4,94","4,10","4,62%"
