P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-4,02",2012,-6%,"0,20","1,03","0,16","-6,71","49,26","0,55","-2,09","-3,12","0,19",-7%,"0,23",-14%,-5%,-11%,"-4,44","-6,65","0,96%"
"3,55",2013,4%,"0,32","1,12","0,45","5,19","55,40","0,33","4,86","2,00","0,13",7%,"0,15",9%,4%,3%,"14,12","5,82","7,17%"
"1,12",2014,8%,"0,37","2,95","0,25","13,30","60,75","0,25","0,73","0,57","0,09",16%,"0,09",22%,8%,16%,"3,12","2,44","1,34%"
"2,94",2015,2%,"0,51","1,07","0,28","3,40","57,66","0,17","4,01","1,08","0,05",5%,"0,06",6%,2%,2%,"23,58","6,35","39,34%"
"-61,29",2016,0%,"0,38","0,92","0,23","-0,26","53,80","0,30","6,52","-4,32","0,07",-2%,"0,10",0%,0%,1%,"20,36","-13,50","6,29%"
"15,37",2017,1%,"0,26","0,86","0,13","1,76","47,76","0,57","3,42","2,00","0,12",7%,"0,15",4%,1%,4%,"6,41","3,75","0,00%"
"11,59",2018,2%,"0,79","0,98","0,16","4,30","46,67","1,07","4,86","3,15","0,20",8%,"0,25",9%,2%,5%,"6,98","4,53","1,00%"
"6,99",2019,4%,"1,18","0,97","0,23","7,36","36,48","1,41","4,00","2,74","0,21",9%,"0,25",20%,3%,6%,"6,32","4,33","1,36%"
"5,61",2020,4%,"1,04","1,23","0,15","9,26","40,21","1,29","3,49","2,49","0,21",10%,"0,25",23%,4%,7%,"5,79","4,13","1,35%"
