P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY,tick
12.46,2013,0.15,1.76,1.17,0.98,0.86,3.21,3.33,5.34,4.18,0.89,0.48,2.02,0.27,0.07,0.19,9.9,7.74,0.1341,ECOR3
24.21,2014,0.16,2.35,0.72,0.52,0.21,2.94,1.73,2.99,2.16,0.36,0.45,0.98,0.07,0.01,0.14,12.6,9.09,0.0825,ECOR3
-4.88,2015,0.04,3.22,0.65,0.48,-1.69,1.02,8.08,5.97,4.15,0.7,0.39,1.63,-1.66,-0.14,0.13,15.16,10.53,0.0097,ECOR3
16.6,2016,-0.34,8.62,0.69,0.39,0.74,1.35,9.09,5.67,4.22,0.88,0.51,2.15,0.55,0.05,0.2,9.73,7.23,0.0341,ECOR3
13.61,2017,0.13,7.93,1.22,0.95,0.69,1.15,8.19,4.42,3.24,0.52,0.51,1.65,0.6,0.04,0.16,10.34,7.57,0.0768,ECOR3
-49.23,2018,0.12,11.73,1.54,1.35,-0.33,0.81,20.01,11.46,6.68,0.79,0.34,2.3,-0.41,-0.02,0.08,17.76,10.36,0.0,ECOR3
-39.26,2019,-0.05,19.07,0.58,0.5,-0.33,0.81,15.96,9.14,5.33,0.63,0.34,1.84,-0.41,-0.02,0.08,17.76,10.36,0.0,ECOR3
22.33,2011,0.14,0.1,4.24,1.7,1.04,4.34,5.35,18.02,17.45,4.03,0.17,3.03,0.24,0.18,0.38,34.14,33.06,0.0091,ARZZ3
35.75,2012,0.11,0.21,4.04,1.59,1.11,5.11,7.73,27.16,25.81,5.51,0.16,4.07,0.22,0.15,0.32,30.38,28.87,0.0083,ARZZ3
23.97,2013,0.11,0.19,3.87,1.29,1.24,5.8,5.13,17.82,16.54,3.75,0.17,2.74,0.21,0.16,0.31,26.62,24.71,0.019799999999999998,ARZZ3
21.16,2014,0.11,0.17,3.47,1.12,1.27,6.5,4.15,16.15,14.82,3.0,0.15,2.27,0.2,0.14,0.28,26.53,24.34,0.0215,ARZZ3
15.4,2015,0.11,0.2,3.46,1.18,1.36,6.95,3.02,13.12,11.26,2.18,0.15,1.66,0.2,0.14,0.25,27.64,23.72,0.0381,ARZZ3
18.87,2016,0.1,0.16,3.51,1.2,1.33,7.53,3.33,14.55,12.57,2.45,0.14,1.8,0.18,0.13,0.26,25.43,21.97,0.0335,ARZZ3
31.68,2017,0.11,0.27,2.4,0.95,1.73,7.4,7.39,28.22,23.81,4.68,0.15,3.61,0.23,0.15,0.29,22.25,18.77,0.0377,ARZZ3
34.53,2018,0.09,0.16,3.3,0.92,1.59,7.87,6.99,25.9,21.42,4.76,0.15,3.26,0.2,0.14,0.27,20.33,16.81,0.0227,ARZZ3
35.49,2019,0.1,0.24,2.11,0.6,1.8,8.2,7.8,25.99,19.18,4.12,0.18,3.47,0.22,0.12,0.22,17.55,12.95,0.0208,ARZZ3
23.48,2020,0.1,0.81,2.25,0.99,1.84,8.3,5.19,16.97,13.31,2.06,0.18,2.34,0.22,0.09,0.21,17.42,13.66,0.0116,ARZZ3
9.54,2009,0.1,0.98,3.55,0.56,0.66,5.66,1.11,6.52,6.47,0.48,0.14,0.92,0.12,0.05,0.09,28.84,28.59,0.0,TRIS3
14.42,2010,0.05,2.16,2.39,0.55,0.49,6.21,1.14,6.48,6.29,0.32,0.12,0.73,0.08,0.02,0.06,30.52,29.64,0.0199,TRIS3
-6.48,2011,-0.05,2.18,1.78,0.3,-0.44,5.72,0.5,10.14,9.35,0.14,0.03,0.3,-0.08,-0.02,0.02,120.59,111.26,0.038599999999999995,TRIS3
8.15,2012,0.05,1.67,1.88,0.22,0.35,5.97,0.48,4.15,4.0,0.16,0.09,0.38,0.06,0.02,0.04,46.04,44.42,0.0,TRIS3
5.15,2013,0.12,0.86,2.14,0.3,0.76,7.31,0.53,4.2,4.15,0.26,0.15,0.61,0.1,0.05,0.07,30.81,30.48,0.0128,TRIS3
6.09,2014,0.11,0.72,2.44,0.4,0.49,6.97,0.43,5.19,5.05,0.22,0.13,0.66,0.07,0.04,0.05,47.56,46.32,0.0403,TRIS3
8.16,2015,0.07,0.58,2.58,0.15,0.34,7.21,0.39,5.58,5.44,0.22,0.1,0.56,0.05,0.03,0.04,58.85,57.39,0.0929,TRIS3
42.37,2016,0.02,0.38,2.55,0.1,0.07,7.16,0.41,15.13,14.85,0.24,0.05,0.7,0.01,0.01,0.02,152.39,149.49,0.0414,TRIS3
8.08,2017,0.08,0.41,2.87,0.38,0.51,7.49,0.55,5.53,5.51,0.32,0.12,0.68,0.07,0.04,0.07,38.77,38.58,0.0342,TRIS3
7.58,2018,0.14,0.46,2.59,0.3,0.54,4.11,1.0,6.44,6.4,0.55,0.17,1.1,0.13,0.07,0.1,22.97,22.82,0.039,TRIS3
18.78,2019,0.19,0.28,3.15,1.08,0.81,5.86,2.61,16.7,16.64,1.59,0.22,3.58,0.14,0.08,0.13,10.39,10.35,0.0046,TRIS3
12.75,2020,0.2,0.27,3.19,0.9,0.83,6.03,1.76,11.56,11.37,1.06,0.22,2.51,0.14,0.08,0.12,10.87,10.7,0.0208,TRIS3
4.69,1998,0.18,0.58,0.83,0.0,19.53,302.4,0.3,2.05,0.0,0.17,0.0,0.82,0.06,0.04,0.09,34.17,0.0,0.0,SBSP3
-25.78,1999,-0.07,0.71,1.19,0.0,-8.23,290.85,0.73,4.59,0.0,0.4,0.0,1.86,-0.03,-0.02,0.09,33.05,0.0,0.0,SBSP3
9.49,2000,0.16,0.73,1.93,0.0,18.33,290.32,0.6,3.73,0.0,0.33,0.0,1.48,0.06,0.03,0.09,32.8,0.0,0.0,SBSP3
17.4,2001,0.06,0.81,0.9,0.0,7.58,280.77,0.47,3.05,0.0,0.24,0.0,1.09,0.03,0.01,0.08,35.76,0.0,0.0,SBSP3
-4.27,2002,-0.16,1.09,0.79,0.0,-21.56,254.43,0.36,1.96,0.0,0.16,0.0,0.7,-0.08,-0.04,0.08,33.99,0.0,0.22829999999999998,SBSP3
5.34,2003,0.21,0.96,0.67,0.0,30.55,266.02,0.61,3.19,0.0,0.28,0.0,1.13,0.11,0.05,0.09,30.77,0.0,0.0674,SBSP3
8.14,2004,0.13,0.89,0.59,0.0,19.35,279.19,0.56,3.46,0.0,0.27,0.0,1.02,0.07,0.03,0.08,34.47,0.0,0.0704,SBSP3
4.96,2005,0.18,0.79,1.02,0.0,31.67,297.83,0.53,2.69,1.98,0.26,0.46,0.9,0.11,0.05,0.1,26.58,19.58,0.0842,SBSP3
10.23,2006,0.15,0.7,0.91,0.0,28.65,316.65,0.93,4.76,3.48,0.46,0.43,1.51,0.09,0.05,0.1,25.04,18.34,0.0325,SBSP3
8.92,2007,0.18,0.58,0.91,0.0,4.61,42.94,0.96,4.59,3.52,0.5,0.45,1.57,0.11,0.06,0.11,21.19,16.25,0.0287,SBSP3
97.3,2008,0.01,0.72,0.74,0.0,0.29,41.9,0.66,5.41,3.54,0.31,0.28,1.0,0.01,0.0,0.06,38.0,24.87,0.036699999999999997,SBSP3
5.7,2009,0.2,0.62,0.81,0.0,6.04,46.2,0.74,3.66,2.9,0.36,0.4,1.16,0.13,0.06,0.1,20.61,16.34,0.0582,SBSP3
5.95,2010,0.18,0.85,1.02,0.57,7.16,42.49,1.0,3.63,3.01,0.42,0.35,1.05,0.17,0.07,0.13,16.4,13.59,0.050499999999999996,SBSP3
9.68,2011,0.12,0.8,0.94,0.54,5.37,46.28,1.12,5.03,3.8,0.47,0.31,1.19,0.12,0.05,0.1,18.63,14.05,0.0,SBSP3
10.34,2012,0.18,0.76,0.89,0.51,8.4,51.42,1.69,6.96,5.53,0.75,0.33,1.84,0.16,0.07,0.12,15.67,12.44,0.0292,SBSP3
9.4,2013,0.17,0.73,1.09,0.6,2.81,18.92,1.4,5.76,4.51,0.64,0.35,1.6,0.15,0.07,0.12,14.42,11.29,0.0888,SBSP3
12.83,2014,0.08,0.81,0.92,0.49,1.33,19.46,0.87,6.08,3.99,0.38,0.26,1.04,0.07,0.03,0.07,24.4,16.0,0.0464,SBSP3
24.05,2015,0.05,0.96,0.92,0.44,0.79,20.07,0.94,4.25,3.14,0.38,0.35,1.1,0.04,0.02,0.1,16.12,11.92,0.0195,SBSP3
6.68,2016,0.21,0.78,0.89,0.44,4.31,22.56,1.28,5.74,4.3,0.54,0.32,1.4,0.19,0.08,0.1,13.9,10.42,0.0076,SBSP3
9.31,2017,0.17,0.69,0.96,0.48,3.69,25.62,1.34,5.92,4.46,0.59,0.36,1.61,0.14,0.06,0.11,11.96,9.01,0.035,SBSP3
7.59,2018,0.18,0.67,1.04,0.56,4.15,28.6,1.1,4.16,3.28,0.49,0.41,1.34,0.15,0.07,0.13,9.22,7.26,0.0327,SBSP3
12.29,2019,0.19,0.61,0.76,0.35,4.93,31.65,1.91,7.25,5.53,0.89,0.42,2.3,0.16,0.07,0.13,8.51,6.49,0.0192,SBSP3
18.1,2020,0.11,0.69,0.74,0.33,3.02,30.69,1.78,6.7,5.03,0.8,0.41,2.06,0.1,0.04,0.13,8.94,6.71,0.0,SBSP3
10.41,2009,0.06,4.65,0.72,0.05,0.14,0.16,8.81,5.2,0.0,0.48,0.0,0.6,0.85,0.05,0.11,16.49,0.0,0.0,PTBL3
9.22,2010,0.07,2.37,0.85,0.05,0.22,0.38,5.38,4.61,0.0,0.57,0.0,0.63,0.58,0.06,0.15,10.65,0.0,0.0,PTBL3
10.76,2011,0.04,1.47,0.88,0.04,0.16,0.51,3.46,4.18,0.0,0.49,0.0,0.48,0.32,0.05,0.14,10.83,0.0,0.0,PTBL3
10.77,2012,0.09,1.31,1.11,0.2,0.42,0.8,5.6,6.07,5.36,1.02,0.19,1.01,0.52,0.09,0.23,6.19,5.46,0.0089,PTBL3
8.61,2013,0.11,1.53,1.23,0.16,0.58,1.2,4.15,5.7,5.04,0.88,0.19,0.95,0.48,0.1,0.2,6.13,5.42,0.020099999999999996,PTBL3
8.01,2014,0.1,1.89,1.08,0.2,0.6,1.5,3.21,4.78,4.16,0.67,0.19,0.8,0.4,0.08,0.18,6.11,5.31,0.039599999999999996,PTBL3
6.05,2015,0.05,3.02,1.46,0.43,0.34,1.46,1.41,2.42,1.96,0.24,0.16,0.31,0.23,0.04,0.13,8.34,6.75,0.1359,PTBL3
107.24,2016,0.0,2.46,1.31,0.26,0.02,1.5,1.35,4.23,2.79,0.26,0.11,0.32,0.01,0.0,0.07,14.44,9.52,0.0246,PTBL3
13.39,2017,0.06,1.8,1.26,0.23,0.41,1.8,3.05,5.84,4.6,0.69,0.18,0.85,0.23,0.05,0.14,6.95,5.48,0.0128,PTBL3
6.09,2018,0.13,1.64,1.39,0.2,0.85,2.28,2.27,3.36,2.86,0.51,0.27,0.78,0.37,0.08,0.17,4.61,3.92,0.0385,PTBL3
60.79,2019,0.01,2.17,1.39,0.45,0.09,2.32,2.32,11.2,6.55,0.46,0.12,0.76,0.04,0.01,0.05,14.95,8.75,0.0279,PTBL3
11.86,2020,0.05,2.28,1.26,0.43,0.33,2.34,1.66,5.76,4.14,0.3,0.13,0.54,0.14,0.03,0.07,10.63,7.64,0.0,PTBL3
32.92,2009,0.05,0.45,2.17,1.33,1.1,61.27,0.59,10.16,7.25,0.3,0.22,1.59,0.02,0.01,0.03,13.0,9.28,0.0424,ELET3
9.86,2010,0.09,0.5,1.79,0.98,2.26,62.29,0.36,5.71,4.19,0.17,0.2,0.84,0.04,0.02,0.04,12.68,9.32,0.5297,ELET3
6.41,2011,0.11,0.59,1.4,0.74,2.78,57.08,0.31,5.22,3.8,0.15,0.19,0.73,0.05,0.02,0.03,14.08,10.26,0.048799999999999996,ELET3
-1.24,2012,-0.18,0.78,1.44,0.47,-5.12,49.74,0.13,-1.08,-1.39,0.05,-0.16,0.22,-0.1,-0.04,-0.05,-9.67,-12.45,0.2022,ELET3
-1.26,2013,-0.22,0.57,1.52,0.41,-4.65,44.87,0.13,-1.53,-2.15,0.06,-0.13,0.28,-0.1,-0.05,-0.04,-12.18,-17.14,0.0698,ELET3
-2.65,2014,-0.1,0.73,1.58,0.36,-2.19,42.03,0.14,-4.01,-43.75,0.05,-0.01,0.26,-0.05,-0.02,-0.02,-37.7,-411.47,0.0707,ELET3
-0.52,2015,-0.46,1.16,1.05,0.32,-11.05,30.86,0.19,-0.62,-0.73,0.05,-0.33,0.24,-0.36,-0.1,-0.1,-6.25,-7.32,0.0,ELET3
8.78,2016,0.06,1.07,0.94,0.25,2.6,32.58,0.7,1.72,1.56,0.18,0.33,0.51,0.08,0.02,0.12,4.35,3.95,0.0,ELET3
-15.17,2017,-0.05,1.09,1.09,0.26,-1.27,31.61,0.61,5.24,3.88,0.15,0.18,0.69,-0.04,-0.01,0.03,15.35,11.37,0.0,ELET3
2.46,2018,0.53,1.0,1.28,0.23,9.87,41.41,0.59,1.79,1.64,0.18,0.8,1.31,0.24,0.07,0.11,4.72,4.32,0.0,ELET3
4.76,2019,0.39,0.69,1.59,0.55,7.94,52.78,0.72,6.05,4.98,0.29,0.37,1.84,0.15,0.06,0.05,8.78,7.23,0.0,ELET3
4.02,2020,0.34,0.72,1.74,0.63,7.17,52.88,0.55,4.71,3.82,0.22,0.36,1.38,0.14,0.05,0.05,9.09,7.37,0.0,ELET3
35.34,2007,0.03,1.59,2.22,0.0,0.43,6.4,2.38,9.4,0.0,0.72,0.0,0.93,0.07,0.02,0.08,33.77,0.0,0.0118,MRFG3
-80.17,2008,0.0,1.57,1.56,0.0,-0.09,10.28,0.73,2.76,2.27,0.22,0.14,0.32,-0.01,0.0,0.09,18.51,15.17,0.0,MRFG3
9.64,2009,0.07,1.23,2.2,0.0,1.98,12.12,1.58,12.15,8.08,0.58,0.09,0.69,0.16,0.06,0.05,26.16,17.4,0.0256,MRFG3
38.37,2010,0.01,2.41,1.35,0.56,0.4,11.56,1.34,6.13,3.58,0.24,0.09,0.34,0.03,0.01,0.05,17.02,9.92,0.009000000000000001,MRFG3
-3.95,2011,-0.03,3.42,1.4,0.52,-2.16,9.89,0.86,2.86,1.66,0.12,0.08,0.13,-0.22,-0.03,0.06,16.77,9.76,0.0012,MRFG3
-17.26,2012,-0.01,2.91,1.33,0.41,-0.49,9.04,0.94,3.46,2.04,0.16,0.08,0.17,-0.05,-0.01,0.06,15.83,9.32,0.0,MRFG3
-2.32,2013,-0.04,2.92,2.03,0.49,-1.72,5.99,0.67,2.34,1.49,0.12,0.07,0.1,-0.29,-0.05,0.06,18.39,11.73,0.0,MRFG3
-4.41,2014,-0.03,5.41,1.79,0.57,-1.38,3.98,1.53,2.93,1.9,0.16,0.08,0.15,-0.35,-0.04,0.07,16.26,10.58,0.0,MRFG3
-6.13,2015,-0.03,14.45,1.82,0.93,-1.04,1.62,3.92,2.55,1.91,0.16,0.08,0.16,-0.64,-0.03,0.09,12.57,9.42,0.0,MRFG3
-5.07,2016,-0.11,10.17,1.26,0.71,-1.3,2.11,3.13,24.97,12.52,0.17,0.05,0.58,-0.62,-0.03,0.01,108.81,54.58,0.0,MRFG3
-10.24,2017,-0.02,4.73,1.62,0.73,-0.71,4.24,1.73,4.09,2.9,0.21,0.08,0.24,-0.17,-0.02,0.08,15.43,10.96,0.0,MRFG3
1.57,2018,0.07,3.8,1.36,0.83,3.47,6.46,0.85,8.02,3.15,0.13,0.04,0.11,0.54,0.08,0.02,40.55,15.95,0.0,MRFG3
4.48,2019,0.03,12.52,1.36,0.79,2.23,2.5,3.99,2.08,1.54,0.22,0.09,0.15,0.89,0.05,0.17,6.72,4.98,0.0,MRFG3
6.65,2020,0.03,48.16,1.15,0.62,1.98,0.8,16.35,2.39,1.82,0.27,0.1,0.18,2.46,0.04,0.16,7.43,5.67,0.0,MRFG3
41.37,2014,0.12,0.65,2.07,0.41,0.74,6.12,5.01,26.27,22.52,2.64,0.22,5.06,0.12,0.06,0.12,27.75,23.78,0.0,OFSA3
26.58,2015,0.13,0.57,2.54,0.15,1.32,7.04,4.97,19.06,15.99,2.72,0.22,3.53,0.19,0.1,0.15,18.16,15.23,0.0077,OFSA3
-302.11,2016,-0.01,0.84,2.67,0.49,-0.09,6.97,4.02,167.84,49.08,1.95,0.07,3.31,-0.01,-0.01,0.01,205.55,60.1,0.0079,OFSA3
32.37,2017,0.08,0.77,1.47,0.45,0.74,7.51,3.2,19.33,14.2,1.6,0.18,2.56,0.1,0.05,0.1,26.79,19.68,0.0046,OFSA3
25.97,2018,0.12,0.63,2.43,0.38,1.3,8.43,4.0,18.55,14.72,2.15,0.21,3.09,0.15,0.08,0.13,18.64,14.79,0.0070999999999999995,OFSA3
47.34,2019,0.08,0.57,2.02,0.21,0.91,9.12,4.72,31.78,24.06,2.67,0.16,3.75,0.1,0.06,0.09,25.22,19.09,0.005600000000000001,OFSA3
31.73,2020,0.08,0.7,1.72,0.45,0.95,9.08,3.3,21.02,15.85,1.75,0.16,2.53,0.1,0.06,0.1,23.68,17.85,0.002,OFSA3
54.3,2016,0.03,0.42,1.22,0.49,0.27,10.54,1.39,16.67,10.86,0.78,0.16,1.77,0.03,0.01,0.05,15.8,10.3,0.0,AALR3
116.71,2017,0.01,0.47,1.11,0.25,0.13,10.74,1.38,24.66,11.72,0.77,0.14,1.63,0.01,0.01,0.03,25.3,12.03,0.0,AALR3
30.28,2018,0.05,0.47,1.04,0.19,0.44,10.98,1.21,11.49,7.16,0.71,0.2,1.46,0.04,0.02,0.07,13.29,8.28,0.0,AALR3
42.12,2019,0.05,0.47,1.03,0.22,0.43,11.16,1.63,15.13,8.25,0.89,0.24,2.0,0.04,0.02,0.06,12.78,6.96,0.0044,AALR3
65.87,2020,0.02,0.63,0.98,0.4,0.16,10.96,0.96,11.81,5.59,0.48,0.22,1.2,0.01,0.01,0.05,17.5,8.29,0.0,AALR3
32.87,2017,0.12,0.52,2.0,0.67,1.02,4.1,8.14,22.54,18.63,3.8,0.21,3.91,0.25,0.12,0.22,15.64,12.93,0.029300000000000003,PARD3
19.59,2018,0.1,0.39,2.08,0.6,0.95,4.63,4.04,14.32,10.83,1.97,0.19,2.03,0.21,0.1,0.17,17.62,13.32,0.0171,PARD3
22.14,2019,0.12,0.33,1.55,0.39,1.23,5.31,5.12,15.11,10.88,2.19,0.24,2.64,0.23,0.1,0.17,12.78,9.2,0.0165,PARD3
19.67,2020,0.11,0.33,1.45,0.33,1.11,5.41,4.05,13.24,9.33,1.74,0.23,2.17,0.21,0.09,0.16,13.96,9.83,0.0109,PARD3
8.73,2001,0.08,1.09,0.76,0.0,4.18,71.35,0.51,3.95,0.0,0.19,0.0,0.66,0.06,0.02,0.05,30.65,0.0,0.9255,CSNA3
-18.82,2002,-0.04,1.39,0.89,0.0,-2.72,68.24,0.75,-2.51,0.0,0.24,0.0,0.71,-0.04,-0.01,-0.1,-14.73,0.0,0.0381,CSNA3
10.88,2003,0.15,1.21,1.49,0.0,14.4,103.43,1.52,5.31,0.0,0.5,0.0,1.61,0.14,0.05,0.1,11.2,0.0,0.0712,CSNA3
7.09,2004,0.2,1.27,1.4,0.0,7.16,24.03,2.11,3.77,0.0,0.57,0.0,1.44,0.3,0.08,0.16,6.22,0.0,0.1993,CSNA3
6.47,2005,0.2,1.36,1.69,0.0,7.77,25.07,2.01,3.57,0.0,0.53,0.0,1.29,0.31,0.08,0.16,6.47,0.0,0.1634,CSNA3
14.2,2006,0.13,1.54,1.84,0.0,4.54,23.79,2.71,6.42,0.0,0.66,0.0,1.84,0.19,0.05,0.11,9.33,0.0,0.0434,CSNA3
13.83,2007,0.26,1.16,1.23,0.0,11.39,29.4,5.36,11.17,0.0,1.49,0.0,3.53,0.39,0.11,0.14,6.49,0.0,0.036699999999999997,CSNA3
3.81,2008,0.41,2.18,1.9,0.0,7.61,8.78,3.3,2.31,2.24,0.7,0.7,1.57,0.87,0.18,0.32,3.08,2.98,0.0662,CSNA3
15.71,2009,0.24,2.57,2.65,0.0,3.57,7.67,7.3,11.53,9.33,1.4,0.4,3.72,0.46,0.09,0.12,8.21,6.65,0.0416,CSNA3
15.45,2010,0.17,2.57,3.55,2.3,1.73,5.36,4.97,7.79,6.71,1.03,0.4,2.69,0.32,0.07,0.18,4.93,4.24,0.038599999999999995,CSNA3
5.95,2011,0.22,3.31,3.38,2.37,2.52,5.77,2.59,3.79,3.26,0.47,0.41,1.32,0.44,0.08,0.19,4.72,4.06,0.0848,CSNA3
-36.02,2012,-0.03,3.35,3.3,2.25,-0.33,6.18,1.92,26.93,9.24,0.35,0.11,1.02,-0.05,-0.01,0.02,47.4,16.25,0.0868,CSNA3
39.11,2013,0.03,3.44,2.95,1.8,0.37,5.53,2.6,6.72,4.9,0.42,0.25,1.21,0.07,0.01,0.08,10.4,7.6,0.0431,CSNA3
-68.32,2014,-0.01,5.21,2.5,1.37,-0.08,4.22,1.32,2.69,1.85,0.15,0.25,0.47,-0.02,0.0,0.07,12.74,8.76,0.1398,CSNA3
3.36,2015,0.11,3.92,3.09,1.62,1.19,6.44,0.62,1.05,0.85,0.11,0.41,0.35,0.19,0.03,0.13,7.8,6.35,0.05,CSNA3
-17.86,2016,-0.05,4.12,2.26,1.02,-0.61,5.32,2.04,7.74,4.61,0.34,0.19,0.88,-0.11,-0.02,0.05,20.32,12.1,0.0,CSNA3
103.82,2017,0.01,3.56,1.11,0.39,0.08,5.97,1.4,3.9,2.62,0.26,0.24,0.63,0.01,0.0,0.08,13.43,9.03,0.0,CSNA3
2.36,2018,0.23,2.88,1.05,0.27,3.75,7.22,1.22,1.77,1.49,0.26,0.36,0.53,0.52,0.11,0.17,5.82,4.92,0.0,CSNA3
8.72,2019,0.09,2.46,1.1,0.32,1.62,8.19,1.72,5.53,3.87,0.38,0.2,0.77,0.2,0.04,0.08,11.0,7.7,0.0673,CSNA3
18.55,2020,0.03,6.59,1.2,0.41,0.61,3.9,2.9,6.39,3.84,0.3,0.16,0.63,0.16,0.02,0.06,18.48,11.12,0.0265,CSNA3
136.86,2011,0.0,1.15,1.13,0.08,0.07,3.32,2.87,8.31,5.92,0.36,0.05,0.28,0.02,0.0,0.06,502.11,357.46,0.0,MGLU3
-377.65,2012,0.0,2.01,1.13,0.17,-0.03,3.3,3.68,15.21,9.37,0.4,0.03,0.3,-0.01,0.0,0.04,722.32,445.1,0.0008,MGLU3
11.98,2013,0.01,1.9,1.16,0.31,0.63,3.77,2.0,3.69,2.91,0.29,0.06,0.17,0.17,0.02,0.16,286.0,225.48,0.0,MGLU3
10.54,2014,0.01,2.27,1.2,0.3,0.73,4.21,1.83,2.81,2.28,0.26,0.06,0.14,0.17,0.02,0.19,219.18,178.17,0.0233,MGLU3
-5.94,2015,-0.01,2.75,1.17,0.39,-2.97,30.26,0.58,1.14,0.83,0.07,0.05,0.04,-0.1,-0.01,0.13,316.75,231.74,0.0108,MGLU3
26.81,2016,0.01,2.61,1.07,0.39,3.96,32.22,3.3,4.02,3.26,0.38,0.08,0.25,0.12,0.01,0.24,184.89,150.33,0.0,MGLU3
39.1,2017,0.03,0.42,1.27,0.4,2.05,10.88,7.38,17.22,14.83,2.06,0.09,1.28,0.19,0.05,0.31,119.58,103.02,0.0177,MGLU3
57.61,2018,0.04,0.2,1.19,0.19,3.14,12.08,14.99,31.89,27.71,3.92,0.08,2.21,0.26,0.07,0.29,98.37,85.47,0.004699999999999999,MGLU3
83.96,2019,0.05,0.11,1.6,0.59,0.57,4.66,10.25,60.12,43.65,3.92,0.09,3.9,0.12,0.05,0.14,79.97,58.06,0.0101,MGLU3
130.24,2020,0.04,0.11,1.79,0.44,0.51,4.63,14.22,92.69,62.5,6.04,0.08,5.15,0.11,0.05,0.11,91.1,61.43,0.0017000000000000001,MGLU3
35.24,2009,0.34,0.1,2.58,2.1,0.92,15.71,2.07,21.62,19.13,1.59,0.63,12.06,0.06,0.04,0.1,46.35,41.02,0.0043,MULT3
28.87,2010,0.38,0.14,2.02,1.56,1.28,16.55,2.23,21.61,18.88,1.66,0.58,10.95,0.08,0.06,0.1,41.3,36.09,0.0092,MULT3
22.12,2011,0.46,0.27,2.58,1.47,1.73,17.95,2.13,17.32,15.06,1.46,0.67,10.14,0.1,0.07,0.1,33.67,29.29,0.0298,MULT3
27.66,2012,0.41,0.56,1.55,0.72,2.18,17.89,3.37,19.94,17.52,1.9,0.64,11.23,0.12,0.07,0.11,26.67,23.43,0.0161,MULT3
33.15,2013,0.29,0.55,1.64,0.69,1.51,20.1,2.48,19.47,15.56,1.48,0.63,9.74,0.07,0.04,0.08,30.35,24.26,0.021,MULT3
24.36,2014,0.33,0.52,1.77,0.66,1.95,21.42,2.22,14.31,11.45,1.35,0.71,8.1,0.09,0.06,0.1,23.52,18.83,0.0173,MULT3
19.89,2015,0.34,0.52,1.46,0.69,1.91,22.04,1.72,11.5,9.24,1.03,0.73,6.78,0.09,0.05,0.1,23.61,18.97,0.0345,MULT3
36.04,2016,0.28,0.65,1.25,0.65,1.65,23.45,2.53,17.25,13.91,1.42,0.73,10.17,0.07,0.04,0.09,23.61,19.04,0.0084,MULT3
38.48,2017,0.32,0.53,1.86,1.28,1.84,25.97,2.73,22.32,17.36,1.64,0.71,12.28,0.07,0.04,0.08,23.37,18.17,0.0171,MULT3
30.88,2018,0.38,0.53,1.79,1.2,0.79,8.91,2.73,19.79,15.55,1.65,0.76,11.88,0.09,0.05,0.09,20.3,15.95,0.048499999999999995,MULT3
42.22,2019,0.36,0.55,1.42,0.98,0.78,9.31,3.56,28.21,21.5,2.08,0.71,15.24,0.08,0.05,0.08,21.59,16.45,0.0139,MULT3
23.23,2020,0.42,0.58,1.33,1.02,0.93,9.67,2.22,15.91,12.43,1.24,0.79,9.76,0.1,0.05,0.09,18.76,14.66,0.021400000000000002,MULT3
-1.48,2009,-1.8,2.86,1.16,0.06,-0.78,0.41,2.83,96.92,22.39,0.15,0.12,2.68,-1.9,-0.1,0.0,314.17,72.57,0.0086,UNIP6
15.14,2010,0.1,1.53,3.56,3.18,0.04,0.45,1.3,11.01,7.74,0.48,0.2,1.53,0.09,0.03,0.11,55.49,38.99,0.0,UNIP6
48.46,2011,0.01,1.17,2.11,1.74,0.01,0.46,0.64,14.25,6.33,0.27,0.11,0.7,0.01,0.01,0.04,147.04,65.3,0.0,UNIP6
8.15,2012,0.12,0.67,1.97,1.46,0.05,0.49,0.81,5.57,3.94,0.43,0.24,0.94,0.1,0.05,0.12,41.18,29.14,0.0,UNIP6
1.23,2013,1.93,1.0,1.08,0.49,0.43,0.89,0.6,1.14,1.09,0.27,2.18,2.37,0.49,0.22,0.26,7.91,7.57,0.0189,UNIP6
0.59,2014,0.09,0.84,1.03,0.58,0.8,9.29,0.05,0.29,0.21,0.02,0.24,0.05,0.09,0.04,0.1,21.53,16.1,0.0426,UNIP6
4.11,2015,0.1,0.71,1.24,0.76,1.05,9.9,0.44,2.3,1.74,0.22,0.24,0.42,0.11,0.05,0.11,18.02,13.6,0.057699999999999994,UNIP6
2.04,2016,0.32,0.47,1.08,0.47,3.36,15.39,0.45,1.01,0.92,0.16,0.7,0.64,0.22,0.08,0.21,4.56,4.18,0.0467,UNIP6
4.3,2017,0.1,0.78,0.96,0.35,3.69,12.83,1.24,3.07,2.3,0.38,0.19,0.44,0.29,0.09,0.15,6.74,5.04,0.318,UNIP6
6.12,2018,0.16,0.71,1.42,0.76,6.02,15.85,2.33,4.04,3.34,0.83,0.29,0.97,0.38,0.14,0.28,3.17,2.61,0.0735,UNIP6
20.87,2019,0.06,0.46,1.54,0.65,1.71,14.58,2.45,9.12,6.25,0.98,0.19,1.19,0.12,0.05,0.13,6.6,4.53,0.0084,UNIP6
