P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY,tick
13.08,2017,0.06,0.39,2.11,0.43,0.59,10.23,0.75,9.49,5.94,0.45,0.12,0.72,0.06,0.03,0.06,17.34,10.85,0.0104,ROMI3
6.23,2018,0.11,0.45,1.93,0.28,1.35,11.09,0.76,11.52,6.68,0.43,0.11,0.71,0.12,0.07,0.04,21.03,12.19,0.08779999999999999,ROMI3
8.49,2019,0.17,0.46,1.92,0.37,2.07,12.06,1.46,10.51,7.99,0.81,0.18,1.44,0.17,0.1,0.09,9.1,6.92,0.0638,ROMI3
9.93,2020,0.1,0.57,1.7,0.33,1.32,12.65,1.04,15.55,9.51,0.53,0.11,1.02,0.1,0.05,0.04,19.63,12.01,0.0496,ROMI3
47.64,2007,0.12,0.35,2.17,0.0,0.35,5.84,2.82,105.48,49.13,1.74,0.11,5.51,0.06,0.04,0.02,322.25,150.11,0.0,SLCE3
29.74,2008,0.11,0.55,1.81,0.0,0.47,7.33,1.91,11.03,8.18,0.89,0.4,3.31,0.06,0.03,0.08,38.05,28.22,0.005699999999999999,SLCE3
144.62,2009,0.02,0.57,1.82,0.0,0.11,8.33,1.96,99.42,19.92,1.0,0.13,2.67,0.01,0.01,0.01,299.16,59.95,0.0067,SLCE3
36.51,2010,0.07,0.24,1.49,0.22,0.6,19.14,1.15,17.1,10.46,0.69,0.23,2.43,0.03,0.02,0.04,37.03,22.66,0.0032,SLCE3
9.33,2011,0.16,0.33,1.21,0.16,1.66,19.69,0.79,5.86,4.64,0.42,0.32,1.5,0.08,0.05,0.08,18.75,14.84,0.0103,SLCE3
48.8,2012,0.04,0.41,1.34,0.2,0.41,20.27,0.98,13.37,7.72,0.53,0.23,1.75,0.02,0.01,0.04,34.11,19.69,0.0317,SLCE3
20.29,2013,0.08,0.55,1.22,0.33,1.01,21.7,0.94,13.3,7.82,0.47,0.22,1.7,0.05,0.02,0.04,33.8,19.87,0.0074,SLCE3
19.04,2014,0.05,0.56,1.2,0.28,0.74,24.61,0.57,7.18,4.72,0.3,0.19,0.91,0.03,0.02,0.05,27.68,18.18,0.0277,SLCE3
12.98,2015,0.07,0.79,1.25,0.4,1.27,24.65,0.67,5.58,4.07,0.3,0.22,0.91,0.05,0.02,0.07,19.24,14.03,0.017,SLCE3
